"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Peralta, Sammy",671111,"CWS","FF","4-Seamer",-2.3,-3,"136",35.9,"38","0.273","0.576","0.424",13.4,15.8,12.2,"0.241","0.441","0.341",40.7
"Soroka, Michael",647336,"ATL","SIFT","Sinker",-0.2,0,"123",22.9,"38","0.286","0.4","0.354",11.3,13.2,31.3,"0.295","0.396","0.329",43.3
"Brasier, Ryan",518489,"LAD","SIFT","Sinker",3.1,4,"132",14.6,"38","0.242","0.242","0.287",8.6,0,0,"0.283","0.358","0.333",29.4
"Shreve, Chasen",592741,"CIN","ST","Sweeper",2.5,4,"158",21,"38","0.167","0.389","0.279",24.3,15.8,23.1,"0.216","0.387","0.279",30
"Brieske, Beau",689225,"DET","CH","Changeup",-0.3,0,"150",23.5,"38","0.263","0.474","0.313",32.5,18.4,12.3,"0.252","0.423","0.286",25.8
"Strahm, Matt",621381,"PHI","FC","Cutter",0.3,0,"145",10.6,"37","0.226","0.419","0.342",28,16.2,23.1,"0.249","0.468","0.366",52
"Harrison, Kyle",690986,"SF","SV","Slurve",-1.6,-3,"156",26.5,"37","0.273","0.606","0.427",24.2,18.9,18.4,"0.271","0.52","0.371",38.5
"Bassitt, Chris",605135,"TOR","CH","Changeup",1.5,3,"206",6.6,"37","0.189","0.351","0.228",10.1,2.7,4,"0.242","0.4","0.273",33.3
"Pruitt, Austin",643493,"OAK","CUKC","Curveball",3.2,4,"122",16.1,"37","0.143","0.314","0.243",22,18.9,18.9,"0.26","0.572","0.364",42.9
"Williams, Trevor",592866,"WSH","CUKC","Curveball",-1.2,-2,"182",6.9,"37","0.314","0.629","0.425",20,10.8,16.7,"0.274","0.431","0.324",32.3
"deGrom, Jacob",594798,"TEX","SL","Slider",0.5,1,"167",37,"37","0.189","0.378","0.286",53.3,48.6,32.1,"0.162","0.26","0.181",26.3
"De León, José",592254,"MIN","FF","4-Seamer",2.3,3,"148",52.1,"37","0.182","0.212","0.231",24,24.3,17.6,"0.223","0.303","0.278",25
"Duarte, Daniel",650960,"CIN","FF","4-Seamer",-2.4,-4,"154",26.9,"37","0.31","0.724","0.47",22.2,13.5,7.9,"0.3","0.607","0.444",60
"Tarnok, Freddy",676206,"OAK","FF","4-Seamer",-1.1,-2,"148",51.6,"37","0.3","0.633","0.449",14.7,13.5,10.9,"0.348","0.75","0.503",52
"Tapia, Domingo",593619,"SD","FF","4-Seamer",-0.1,0,"153",48.1,"37","0.207","0.345","0.336",31.7,27,22.2,"0.172","0.253","0.295",47.4
"Rodríguez, Yerry",666720,"TEX","FF","4-Seamer",-3.6,-5,"130",46.8,"37","0.364","0.455","0.396",21.1,27,24.4,"0.248","0.356","0.307",43.5
"Cordero, Jimmy",622772,"NYY","SL","Slider",1.2,2,"143",27.9,"37","0.143","0.229","0.188",37.3,43.2,25.8,"0.148","0.228","0.189",31.6
"Ramsey, Lane",682010,"CWS","FF","4-Seamer",1.8,3,"166",48.8,"37","0.29","0.387","0.333",21.6,18.9,21.2,"0.224","0.354","0.298",46.2
"Fleming, Josh",676596,"TB","CUKC","Curveball",-0.3,0,"168",22.1,"37","0.278","0.472","0.33",13.9,13.5,11.6,"0.271","0.41","0.303",32.3
"Eflin, Zach",621107,"TB","ST","Sweeper",0.3,0,"102",4,"37","0.189","0.351","0.228",39.7,45.9,32.1,"0.174","0.318","0.209",20
"Dodd, Dylan",689266,"ATL","SL","Slider",-4.4,-7,"162",28.5,"37","0.375","0.75","0.504",30.1,8.1,7.1,"0.325","0.633","0.442",31
"Wesneski, Hayden",669713,"CHC","FC","Cutter",-1.8,-3,"148",10,"37","0.308","0.654","0.486",20,10.8,10.8,"0.36","0.83","0.552",43.5
